statement,true,predicted,speaker,party,speaker_lie_rate,capitalized_word_ratio,statement_len
Building a wall on the U.S.-Mexico border will take literally years.,1,0,rick-perry,republican,0.3356643356643357,0.0,11
Wisconsin is on pace to double the number of layoffs this year.,0,1,katrina-shankland,democrat,0.3333333333333333,0.0,12
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,1,0,rob-cornilles,republican,0.2857142857142857,0.0,13
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,1,0,brendan-doherty,republican,0.4,0.0,23
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,0,1,mike-pence,republican,0.2857142857142857,0.0,25
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,0,1,mike-berlon,democrat,0.0,0.0,16
PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,0,1,bill-flores,republican,0.0,0.0,11
On residency requirements for public workers,1,0,chris-abele,none,0.3888888888888889,0.0,6
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,1,0,rick-santorum,republican,0.3962264150943396,0.0,16
Ronald Reagan faced an even worse recession than the current one.,0,1,sarah-palin,republican,0.5102040816326531,0.0,11
